HN1	59	13,33
HN2	77	12,67
HN3	11	2,61
HN4	33	3,32
HN5	84	0,60
HN6	49	6,42
HN7	7	1,02
HN8	91	21,33
HN9	93	14,20
HN10	70	2,21
HN11	94	20,22
HN12	8	1,83
HN13	51	11,79
HN14	91	17,34
HN15	94	16,92
HN16	34	1,72
GN1	62	15,31
GN2	41	8,37
GN3	71	5,72
GN4	82	4,97
GN5	28	1,96
GN6	22	3,98
GN7	73	16,00
GN8	89	20,78
GN9	21	2,75
GN10	11	2,07
GN11	100	19,37
GN12	32	6,57
GN13	47	11,18
GN14	37	5,46
GN15	41	5,78
GN16	17	3,46
FN1	53	10,33
FN2	45	7,40
FN3	31	6,88
FN4	53	7,14
FN5	34	6,35
FN6	11	0,08
FN7	88	9,84
FN8	85	17,15
FN9	6	0,85
FN10	3	0,74
FN11	31	2,59
FN12	10	1,95
FN13	28	6,82
FN14	65	7,39
FN15	89	15,51
FN16	65	15,12
EN1	66	11,36
EN2	33	5,99
EN3	72	12,30
EN4	43	2,54
EN5	60	3,04
EN6	42	4,89
EN7	32	7,28
EN8	89	15,67
EN9	65	9,50
EN10	53	3,73
EN11	74	6,77
EN12	17	3,67
EN13	4	0,74
EN14	81	16,65
EN15	89	14,87
EN16	66	12,31
DN1	54	7,94
DN2	31	7,74
DN3	30	6,83
DN4	80	10,90
DN5	18	2,65
DN6	68	11,56
DN7	56	0,92
DN8	32	1,96
DN9	60	9,17
DN10	46	0,90
DN11	63	14,17
DN12	67	6,23
DN13	42	9,83
DN14	98	23,85
DN15	36	6,89
DN16	95	7,18
CN1	14	1,53
CN2	77	18,65
CN3	76	6,40
CN4	60	9,02
CN5	25	2,11
CN6	72	2,23
CN7	49	5,17
CN8	79	7,06
CN9	28	6,99
CN10	67	8,29
CN11	18	1,78
CN12	11	1,85
CN13	89	4,94
CN14	31	3,77
CN15	65	8,85
CN16	5	0,24
BN1	51	3,27
BN2	55	3,98
BN3	56	10,09
BN4	53	11,67
BN5	48	4,89
BN6	88	4,63
BN7	11	0,31
BN8	42	2,45
BN9	24	3,67
BN10	76	5,86
BN11	31	5,86
BN12	87	12,09
BN13	61	10,05
BN14	95	9,96
BN15	20	2,63
BN16	8	0,29
AN1	36	8,41
AN2	62	7,41
AN3	50	9,78
AN4	10	2,16
AN5	68	9,42
AN6	2	0,45
AN7	69	12,57
AN8	44	10,18
AN9	32	5,10
AN10	6	1,14
AN11	26	4,05
AN12	24	3,53
AN13	35	1,44
AN14	46	7,76
AN15	66	8,96
AN16	52	0,06
BS1	18	1,83
BS2	69	3,44
BS3	84	4,37
BS4	33	3,84
BS5	32	2,50
BS6	94	4,95
BS7	92	13,28
BS8	77	1,23
BS9	1	0,12
BS10	29	5,02
BS11	71	8,16
BS12	16	3,93
BS13	95	10,01
BS14	42	0,65
BS15	55	3,56
BS16	94	13,23
CS1	16	2,63
CS2	25	3,78
CS3	66	3,02
CS4	59	10,27
CS5	43	2,27
CS6	35	1,94
CS7	69	14,22
CS8	6	0,30
CS9	49	3,55
CS10	30	3,42
CS11	64	14,71
CS12	51	5,77
CS13	89	16,94
CS14	44	6,06
CS15	33	2,79
CS16	82	16,29
DS1	64	1,53
DS2	50	3,02
DS3	75	18,12
DS4	95	2,48
DS5	17	2,97
DS6	37	8,79
DS7	76	1,27
DS8	76	5,64
DS9	79	9,93
DS10	53	2,62
DS11	71	17,70
DS12	89	13,07
DS13	43	5,58
DS14	28	1,50
DS15	11	2,15
DS16	16	3,82
ES1	49	9,14
ES2	62	0,46
ES3	70	17,50
ES4	69	7,82
ES5	84	6,45
ES6	67	12,00
ES7	93	18,74
ES8	58	11,82
ES9	72	1,68
ES10	62	14,17
ES11	41	4,79
ES12	27	1,51
ES13	78	7,13
ES14	46	4,14
ES15	75	17,10
ES16	26	0,45
FS1	93	19,06
FS2	13	2,61
FS3	60	0,74
FS4	44	1,76
FS5	63	8,20
FS6	91	10,00
FS7	28	2,35
FS8	1	0,24
FS9	99	20,77
FS10	70	14,76
FS11	65	1,75
FS12	95	7,58
FS13	82	2,14
FS14	95	8,60
FS15	54	7,34
FS16	24	1,72
GS1	24	0,66
GS2	47	10,83
GS3	83	18,30
GS4	29	7,14
GS5	78	17,23
GS6	0	0,00
GS7	91	12,22
GS8	23	3,27
GS9	95	5,15
GS10	78	13,06
GS11	19	0,98
GS12	25	5,24
GS13	100	11,24
GS14	35	5,91
GS15	28	5,47
GS16	83	13,04
HS1	2	0,38
HS2	59	6,46
HS3	50	12,28
HS4	65	7,79
HS5	40	8,19
HS6	67	12,56
HS7	56	1,18
HS8	8	0,08
HS9	63	6,14
HS10	84	0,93
HS11	47	10,06
HS12	85	2,85
HS13	62	4,21
HS14	17	2,32
HS15	8	2,00
HS16	76	11,47
IS1	28	5,66
IS2	94	8,14
IS3	11	2,20
IS4	8	1,36
IS5	82	13,86
IS6	71	17,15
IS7	97	13,67
IS8	40	0,16
IS9	33	6,56
IS10	11	2,53
IS11	32	4,27
IS12	58	4,81
IS13	38	7,77
IS14	53	12,02
IS15	34	4,05
IS16	56	2,93
