DN1	47	7,31
DN2	24	5,38
DN3	16	3,18
DN4	61	1,64
DN5	29	3,69
DN6	57	8,18
DN7	98	10,15
DN8	36	1,66
CN1	62	15,21
CN2	21	1,20
CN3	85	6,92
CN4	43	2,20
CN5	95	14,70
CN6	32	4,02
CN7	27	1,81
CN8	44	4,78
BN1	5	0,92
BN2	29	4,18
BN3	24	3,83
BN4	70	12,95
BN5	67	9,33
BN6	58	5,41
BN7	23	3,30
BN8	73	14,89
AN1	60	1,45
AN2	26	3,23
AN3	22	4,37
AN4	48	10,47
AN5	2	0,46
AN6	23	1,73
AN7	55	4,81
AN8	24	0,46
BS1	15	2,52
BS2	94	20,03
BS3	88	20,14
BS4	76	12,89
BS5	5	1,09
BS6	49	8,98
BS7	9	1,97
BS8	94	18,15
CS1	57	1,72
CS2	44	7,83
CS3	31	0,20
CS4	22	5,34
CS5	49	9,77
CS6	19	0,79
CS7	11	1,65
CS8	58	14,11
DS1	94	8,43
DS2	4	0,90
DS3	52	0,28
DS4	17	0,13
DS5	82	0,92
DS6	42	5,88
DS7	60	13,73
DS8	75	13,02
ES1	2	0,16
ES2	37	2,95
ES3	69	13,26
ES4	3	0,71
ES5	93	5,37
ES6	98	16,70
ES7	42	9,63
ES8	68	14,80
