AFN1	12.25	50,00	3
AFN2	9.75	36,00	2
AFN3	23.0	50,00	2
AFN4	17.0	50,00	2
AFN5	5.75	36,00	3
AFN6	7.75	27,00	1
AFN7	22.5	50,00	1
AFN8	5.75	50,00	9
AFN9	3.25	31,00	7
AFN10	9.0	50,00	4
AFN11	10.75	16,00	3
AFN12	9.0	47,00	3
AFN13	11.25	1,00	3
AFN14	18.25	50,00	3
AFN15	1.75	50,00	10
AFN16	18.25	28,00	8
AFN17	24.0	50,00	5
AFN18	23.75	50,00	9
AFN19	9.0	50,00	9
AFN20	19.5	34,00	5
AFN21	14.75	38,00	7
AFN22	9.25	13,00	8
AFN23	8.75	50,00	8
AFN24	24.5	10,00	6
AFN25	0.25	50,00	2
AFN26	10.25	50,00	6
AFN27	16.5	50,00	9
AFN28	16.75	50,00	5
AFN29	18.5	21,00	1
AFN30	9.25	14,00	4
AFN31	17.25	42,00	2
AFN32	7.5	49,00	8
AFN33	10.75	50,00	4
AFN34	19.75	50,00	7
AFN35	8.25	50,00	6
AFN36	20.5	50,00	9
AFN37	16.25	0,00	3
AFN38	22.5	8,00	5
AFN39	16.5	46,00	5
AFN40	9.75	50,00	9
AFN41	4.5	23,00	6
AFN42	21.0	44,00	2
AFN43	1.25	50,00	1
AFN44	18.75	50,00	3
AFN45	9.25	50,00	10
AFN46	19.0	50,00	6
AFN47	25.0	41,00	4
AFN48	13.0	23,00	3
AFN49	10.5	50,00	8
AFN50	0.25	50,00	5
AFN51	3.0	50,00	6
AFN52	4.25	50,00	6
AFN53	24.5	50,00	1
AFN54	5.5	15,00	6
AFN55	3.5	50,00	5
AFN56	5.5	27,00	8
AFN57	15.5	40,00	6
AFN58	15.25	50,00	6
AFN59	9.0	18,00	10
AFN60	9.75	50,00	5
AFN61	11.0	7,00	5
AFN62	22.75	50,00	7
AFN63	20.75	50,00	9
AFN64	12.5	48,00	8
AEN1	18.0	50,00	9
AEN2	13.25	50,00	5
AEN3	13.0	9,00	9
AEN4	18.0	50,00	1
AEN5	15.5	48,00	2
AEN6	14.75	14,00	5
AEN7	2.75	50,00	3
AEN8	2.5	36,00	6
AEN9	9.75	39,00	5
AEN10	11.25	19,00	5
AEN11	8.0	50,00	6
AEN12	19.0	50,00	9
AEN13	15.25	50,00	5
AEN14	17.0	50,00	7
AEN15	13.25	14,00	8
AEN16	11.25	50,00	8
AEN17	20.5	50,00	6
AEN18	6.0	23,00	10
AEN19	10.0	5,00	6
AEN20	22.5	44,00	7
AEN21	2.25	50,00	3
AEN22	13.0	50,00	5
AEN23	2.5	44,00	2
AEN24	1.5	50,00	6
AEN25	17.0	50,00	4
AEN26	1.25	48,00	7
AEN27	11.75	50,00	1
AEN28	13.25	50,00	6
AEN29	14.5	50,00	3
AEN30	16.5	50,00	5
AEN31	11.75	40,00	8
AEN32	19.25	19,00	5
AEN33	9.25	15,00	7
AEN34	6.75	19,00	2
AEN35	18.5	31,00	4
AEN36	20.75	19,00	3
AEN37	6.0	50,00	7
AEN38	2.25	50,00	5
AEN39	10.5	50,00	7
AEN40	24.0	40,00	4
AEN41	11.5	34,00	5
AEN42	6.0	24,00	5
AEN43	5.25	31,00	4
AEN44	22.75	16,00	5
AEN45	6.0	50,00	3
AEN46	18.0	50,00	9
AEN47	12.25	50,00	9
AEN48	16.75	32,00	8
AEN49	1.25	50,00	3
AEN50	19.0	12,00	7
AEN51	13.75	25,00	9
AEN52	24.5	50,00	9
AEN53	10.25	21,00	6
AEN54	19.25	50,00	6
AEN55	12.0	34,00	8
AEN56	7.0	3,00	9
AEN57	12.25	50,00	9
AEN58	8.0	20,00	9
AEN59	13.25	50,00	10
AEN60	18.5	50,00	1
AEN61	20.0	28,00	1
AEN62	21.75	22,00	6
AEN63	24.75	41,00	3
AEN64	1.5	50,00	9
ADN1	12.75	50,00	9
ADN2	20.75	43,00	6
ADN3	6.25	50,00	7
ADN4	20.75	44,00	7
ADN5	12.5	42,00	6
ADN6	0.75	50,00	2
ADN7	10.75	50,00	10
ADN8	22.75	10,00	5
ADN9	25.0	50,00	3
ADN10	9.5	41,00	3
ADN11	21.0	13,00	8
ADN12	14.5	50,00	1
ADN13	15.5	50,00	6
ADN14	18.25	30,00	9
ADN15	25.0	8,00	9
ADN16	24.75	50,00	7
ADN17	17.5	17,00	2
ADN18	0.5	50,00	5
ADN19	23.75	50,00	2
ADN20	0.25	50,00	10
ADN21	11.0	7,00	9
ADN22	16.5	50,00	5
ADN23	15.25	50,00	6
ADN24	3.5	50,00	3
ADN25	16.75	50,00	4
ADN26	22.0	50,00	4
ADN27	15.0	2,00	6
ADN28	23.25	44,00	7
ADN29	3.5	50,00	4
ADN30	6.75	15,00	3
ADN31	21.5	50,00	4
ADN32	5.75	50,00	2
ADN33	7.5	50,00	8
ADN34	22.25	50,00	9
ADN35	2.75	50,00	3
ADN36	14.0	43,00	2
ADN37	12.0	9,00	8
ADN38	19.0	7,00	2
ADN39	7.5	50,00	2
ADN40	19.5	50,00	7
ADN41	6.75	50,00	5
ADN42	1.5	50,00	10
ADN43	0.25	50,00	3
ADN44	4.75	50,00	4
ADN45	11.0	50,00	6
ADN46	6.25	50,00	3
ADN47	22.75	10,00	10
ADN48	15.5	50,00	6
ADN49	14.0	38,00	5
ADN50	2.75	50,00	7
ADN51	7.25	50,00	1
ADN52	14.25	50,00	5
ADN53	19.75	18,00	10
ADN54	11.0	5,00	7
ADN55	6.0	29,00	6
ADN56	11.25	8,00	5
ADN57	15.0	50,00	5
ADN58	17.5	22,00	3
ADN59	11.5	50,00	8
ADN60	1.25	45,00	9
ADN61	20.75	50,00	6
ADN62	20.75	50,00	2
ADN63	19.0	50,00	10
ADN64	9.5	50,00	7
ACN1	3.0	31,00	3
ACN2	19.5	22,00	2
ACN3	2.5	11,00	3
ACN4	25.0	50,00	10
ACN5	0.75	50,00	6
ACN6	8.0	50,00	7
ACN7	11.5	50,00	8
ACN8	24.0	11,00	6
ACN9	3.75	50,00	4
